id,title,published_date,year,month,day,num_views,num_likes,length,quality,tags,num_tags
xdP253NqsxU,Seashell MOTHERLOAD!!! Shelling at Cayo Costa near Sanibel Island - shell hunting,2017-04-22 10:45:02+00:00,17,4,Saturday,94334,1486,950.0,hd,"['shelling', 'seashells', 'Cayo Costa', 'Sanibel', 'Florida', 'Shelling florida', 'Collecting seashells', 'hunting seashells', 'seashell', 'Things to do in Fort Meyers']",10
qUhW2hJJVxA,"4 Days Camping, Fishing & Eating What We Catch in Alaska",2023-07-01 11:00:41+00:00,23,7,Saturday,17747853,220539,2133.0,hd,"['Fishing', 'camping', 'Alaska', 'Travel', 'camping Alaska', 'fishing alaska', 'travel alaska', 'fishing for halibut', 'fishing for salmon', 'fishing for rock fish', 'catch and cook', 'catch clean cook', 'halibut catch and cook', 'salmon catch and cook', 'dip netting', 'king salmon', 'sockeye salmon', 'red salmon', 'fishing valdez', 'dip netting chitina', 'halibut fishing valdez', 'family camping', 'family travel vlog', 'travel vlog', 'Alaska travel vlog', 'Alaska adventure', 'camping with kids', 'things to do in ALaska']",28
4PDLO-iC3FM,3 Days in Arctic with Bushcraft Hot Tent & No Sleeping Bag,2023-12-23 12:00:05+00:00,23,12,Saturday,28027803,593746,1935.0,hd,"['camping', 'survival', 'bushcraft', 'hot tent', 'cold weather camping', 'arctic', 'alaska', 'camping Alaska', 'survival camping', 'bushcraft camping', 'hot tent camping', 'winter camping', 'winter camping in Alaska', 'deep snow camping', 'bushcraft skills', 'adventure camping', 'kei truck', 'camping in arctic', 'coldest town on earth']",19
EjvRmNqbfew,Campfire Prime Rib Roast - Cooking Christmas Feast over Campfire. How to Sous Vide Prime Rib Hack,2020-12-19 12:00:04+00:00,20,12,Saturday,2105713,51379,794.0,hd,"['Campfire cooking', 'sous vide', 'how to sous vide', 'sous vide prime rib', 'Sous vide rib roast', 'sous vide steak', 'how to cook prime rib', 'how to cook rib roast', 'prime rib', 'cooking prime rib over fire', 'how to cook perfect steak', 'cooking christmas dinner', 'campfire cooking recipe', 'prime rib recipe', 'rib roast recipe', 'DIY sous vide']",16
SbOENPyxvyI,Winter Camping with Lightest Backpacking Gear in the World - Ultralight Backing Gear Review,2022-11-12 12:00:17+00:00,22,11,Saturday,2007379,50231,1417.0,hd,"['Ultralight backpacking gear', 'through hiking', 'hiking backpacking', 'camping', 'winter camping', 'cold weather camping', 'lightest backpack', 'lightest tent', 'lightest sleeping bag', 'backing tent', 'backpacking gear', 'gear review', 'backpacking gear review', 'hiking gear review', 'Zpacks', 'hyperlight', 'sleeping mat review', 'sleeping bag review', 'lightest gear in world', 'best backpacking gear']",20
aBweYxSq1hs,Building Fishing Boat from PVC (And Fishing with it!),2020-07-25 11:02:10+00:00,20,7,Saturday,1081591,21600,1099.0,hd,"['Fishing', 'fishing boat', 'boat', 'small boats', 'coracle boat', 'building a boat', 'build a jon boat', 'DIY Boat', 'DIY jon Boat', 'Plywood jon boat', 'building a fishing boat', 'DIY projects', 'building boat from scratch', 'cheap fishing boat', 'cheap boat', 'row boat', 'building a row boat', 'How to build a boat', 'how to build a jon boat', 'how to build a row boat', 'how to build a fishing boat', 'small boat for fisherman', 'fishing for catfish']",23
0Gx60dye-_U,"3 Days Camping in Alaska & Eating What We Catch - Shrimp, Rock Fishing and Halibut Catch & Cook",2022-05-28 11:00:00+00:00,22,5,Saturday,7602133,55061,1861.0,hd,,0
3Ym3LW8ZVeY,3 Days Stranded in Alaska Without a Tent - Camping in Deep Snow Survival Shelters,2023-02-11 12:00:02+00:00,23,2,Saturday,22716381,418539,1949.0,hd,"['camping', 'survival', 'winter camping', 'survival camping', 'deep snow camping', 'camping in snow', 'cold weather camping', 'camping in cold', 'survival shelter', 'bushcraft shelter', 'bushcraft camping', 'wilderness survival', 'arctic survival', 'camping in alaska', 'winter camping in ALaska', 'Alaska adventure', 'hurricane train', 'Alaska railroad', 'whistle stop train', 'cross country skiing', 'trekking', 'snowshoeing', 'snow shelter', 'quinzee', 'survival tips', 'extreme survival', 'extreme camping']",27
2OdYv8YKSaI,6 Days Jungle Survival Camping with NO Food - US Marine Corps Jungle Survival School,2024-10-19 11:00:02+00:00,24,10,Saturday,16541116,454927,4382.0,hd,"['US Marine Corps', 'Marines', 'Marine Corps', 'USMC', 'Jungle Warfare', 'Jungle', 'Jungle Survival', 'Survival', 'Survival Camping', 'Camping without food', 'foraging food', 'eating snakes', 'jungle survival camping', 'camping', 'okinawa japan', 'military', 'military training', 'military survival training', 'primitive survival', 'surviving in the jungle', '6 days camping', 'extreme survival', 'extreme camping', 'marine corps training', 'marine corps survival training', 'army survival training', 'survival school', 'JWTC']",28
jtJ__brIqIY,Catch and Cook Crabs & Clams - Best Family Fishing Charter,2019-10-19 11:45:45+00:00,19,10,Saturday,589754,8041,869.0,hd,"['Catch and cook', 'catch clean cook', 'crabs', 'clam', 'fishing', 'inshore fishing', 'family fishing charter', 'lucky break charters', 'crab catch and cook', 'catch and cook crab', 'catch clean cook crabs', 'how to catch crabs', 'crabbing charter', 'fishing charter', 'ocena city', 'Ocean City fishing charter', 'Ocena city crabbing charter', 'clamming', 'catch and cook clams', 'clamming charter', 'best family friendly fishing charter', 'how to cook crabs', 'cooking crabs', 'fishing for crabs', 'blue crabs']",25
ER3d-8E7yvU,Plane Crash Survival Camping & Bushcraft Shelter - Surviving like DB Cooper,2021-04-10 11:00:05+00:00,21,4,Saturday,3099979,40888,1338.0,hd,"['Survival', 'camping', 'bushcraft', 'survival shelter', 'bushcraft shelter', 'survival shelter camping', 'survival tips', 'D B Cooper', 'Plane Crash Survival', 'Survive a plane crash', 'Camping with kids', 'Campfire cooking', 'camping in washington', 'fun camping video', 'family adventure', 'family camping', 'Camping in bushcraft shelter', 'camping tips']",18
T33dJMbE_jw,Funny Videos Memes & Fails (clean) - Best of Outdoor Boys,2020-03-14 12:03:08+00:00,20,3,Saturday,2003193,17174,811.0,hd,"['Meme', 'funny videos', 'clean meme', 'funny videos clean', 'funny memes', 'wholesome memes', 'try not to laugh', 'funny videos try not to laugh', 'outdoor memes', 'funny outdoor videos', 'parenting memes', 'funny parenting videos', 'punny parenting memes']",13
